studyName,Date GMT,Time GMT,Island,Colony,Adults,Chicks
PAL1213,2013-01-24,1015,CHR,2,0,0
PAL1213,2013-01-24,1015,CHR,3,0,0
PAL1213,2013-01-24,1015,CHR,4.1,0,0
PAL1213,2013-01-24,1015,CHR,5,0,0
PAL1213,2013-01-24,1015,CHR,6,12,2
PAL1213,2013-01-24,1015,CHR,7.1,0,0
PAL1213,2013-01-24,1015,CHR,7.2,0,0
PAL1213,2013-01-24,1015,CHR,8,27,16
PAL1213,2013-01-24,1015,CHR,9.1,22,7
PAL1213,2013-01-24,1015,CHR,10,0,0
PAL1213,2013-01-24,1015,CHR,11,0,0
PAL1213,2013-01-24,1100,COR,1,0,0
PAL1213,2013-01-24,1100,COR,2,28,22
PAL1213,2013-01-24,1100,COR,3,27,13
PAL1213,2013-01-24,1100,COR,4,0,0
PAL1213,2013-01-24,1100,COR,5,0,0
PAL1213,2013-01-24,1100,COR,5.1,35,24
PAL1213,2013-01-24,1100,COR,6,0,0
PAL1213,2013-01-26,1015,CHR,7,141,95
PAL1213,2013-01-26,1320,HUM,1.1,0,0
PAL1213,2013-01-26,1320,HUM,1.2,0,0
PAL1213,2013-01-26,1320,HUM,1.3,0,0
PAL1213,2013-01-26,1320,HUM,2.1,25,23
PAL1213,2013-01-26,1320,HUM,2.2,30,30
PAL1213,2013-01-26,1320,HUM,3,52,78
PAL1213,2013-01-26,1320,HUM,3.1,0,0
PAL1213,2013-01-26,1320,HUM,4,0,0
PAL1213,2013-01-26,1320,HUM,5,13,9
PAL1213,2013-01-26,1300,LIT,1,0,0
PAL1213,2013-01-26,1300,LIT,2,0,0
PAL1213,2013-01-26,1300,LIT,3,0,0
PAL1213,2013-01-26,1300,LIT,4,0,0
PAL1213,2013-01-26,1300,LIT,5,0,0
PAL1213,2013-01-26,1300,LIT,6,0,0
PAL1213,2013-01-26,1300,LIT,7,0,0
PAL1213,2013-01-26,1300,LIT,8,0,0
PAL1213,2013-01-26,1300,LIT,9,0,0
PAL1213,2013-01-26,1530,TOR,1,0,0
PAL1213,2013-01-26,1530,TOR,2,0,0
PAL1213,2013-01-26,1530,TOR,3,0,0
PAL1213,2013-01-26,1530,TOR,4,4,1
PAL1213,2013-01-26,1530,TOR,5,0,0
PAL1213,2013-01-26,1530,TOR,12,0,0
PAL1213,2013-01-26,1530,TOR,13,0,0
PAL1213,2013-01-26,1530,TOR,15,0,0
PAL1213,2013-01-26,1530,TOR,17,0,0
PAL1213,2013-01-26,1530,TOR,18,6,1
PAL1213,2013-01-26,1530,TOR,19,74,35
PAL1213,2013-01-26,1530,TOR,20,36,17
PAL1213,2013-01-26,1530,TOR,21,0,0
PAL1213,2013-01-26,1530,TOR,22,0,0
PAL1213,2013-01-26,1530,TOR,23,0,0
PAL1213,2013-01-26,1530,TOR,23.1,0,0
PAL1314,2014-01-24,NULL,HUM,2.1,23,16
PAL1314,2014-01-24,NULL,HUM,2.2,32,33
PAL1314,2014-01-24,NULL,HUM,3,60,88
PAL1314,2014-01-24,NULL,HUM,3.1,0,0
PAL1314,2014-01-24,NULL,HUM,4,0,0
PAL1314,2014-01-24,NULL,HUM,5,9,9
PAL1314,2014-01-24,NULL,LIT,1,0,0
PAL1314,2014-01-24,NULL,LIT,2,0,0
PAL1314,2014-01-24,NULL,LIT,3,0,0
PAL1314,2014-01-24,NULL,LIT,4,0,0
PAL1314,2014-01-24,NULL,LIT,5,0,0
PAL1314,2014-01-24,NULL,LIT,6,0,0
PAL1314,2014-01-24,NULL,LIT,7,0,0
PAL1314,2014-01-24,NULL,LIT,8,0,0
PAL1314,2014-01-24,NULL,LIT,9,0,0
PAL1314,2014-01-25,NULL,CHR,1,0,0
PAL1314,2014-01-25,NULL,CHR,2,0,0
PAL1314,2014-01-25,NULL,CHR,3,0,0
PAL1314,2014-01-25,NULL,CHR,4.1,0,0
PAL1314,2014-01-25,NULL,CHR,5,0,0
PAL1314,2014-01-25,NULL,CHR,6,0,0
PAL1314,2014-01-25,NULL,CHR,7,149,40
PAL1314,2014-01-25,NULL,CHR,7.1,0,0
PAL1314,2014-01-25,NULL,CHR,7.2,0,0
PAL1314,2014-01-25,NULL,CHR,8,0,0
PAL1314,2014-01-25,NULL,CHR,9.1,0,0
PAL1314,2014-01-25,NULL,CHR,10,0,0
PAL1314,2014-01-25,NULL,CHR,11,0,0
PAL1314,2014-01-25,NULL,COR,1,0,0
PAL1314,2014-01-25,NULL,COR,2,23,15
PAL1314,2014-01-25,NULL,COR,3,19,13
PAL1314,2014-01-25,NULL,COR,4,0,0
PAL1314,2014-01-25,NULL,COR,5,0,0
PAL1314,2014-01-25,NULL,COR,5.1,34,17
PAL1314,2014-01-25,NULL,COR,6,0,0
PAL1314,2014-01-25,NULL,HUM,1.1,0,0
PAL1314,2014-01-25,NULL,HUM,1.2,0,0
PAL1314,2014-01-25,NULL,HUM,1.3,0,0
PAL1314,2014-01-25,NULL,TOR,1,0,0
PAL1314,2014-01-25,NULL,TOR,2,0,0
PAL1314,2014-01-25,NULL,TOR,3,0,0
PAL1314,2014-01-25,NULL,TOR,4,0,0
PAL1314,2014-01-25,NULL,TOR,5,0,0
PAL1314,2014-01-25,NULL,TOR,12,0,0
PAL1314,2014-01-25,NULL,TOR,13,0,0
PAL1314,2014-01-25,NULL,TOR,15,0,0
PAL1314,2014-01-25,NULL,TOR,17,0,0
PAL1314,2014-01-25,NULL,TOR,18,0,0
PAL1314,2014-01-25,NULL,TOR,19,110,28
PAL1314,2014-01-25,NULL,TOR,20,34,20
PAL1314,2014-01-25,NULL,TOR,21,0,0
PAL1314,2014-01-25,NULL,TOR,22,0,0
PAL1314,2014-01-25,NULL,TOR,23,0,0
PAL1314,2014-01-25,NULL,TOR,23.1,0,0
PAL1415,2015-01-30,NULL,CHR,1,0,0
PAL1415,2015-01-30,NULL,CHR,2,0,0
PAL1415,2015-01-30,NULL,CHR,3,0,0
PAL1415,2015-01-30,NULL,CHR,5,0,0
PAL1415,2015-01-30,NULL,CHR,6,0,0
PAL1415,2015-01-30,NULL,CHR,7,80,5
PAL1415,2015-01-30,NULL,CHR,7.1,0,0
PAL1415,2015-01-30,NULL,CHR,7.2,0,0
PAL1415,2015-01-30,NULL,CHR,8,0,0
PAL1415,2015-01-30,NULL,CHR,9.1,0,0
PAL1415,2015-01-30,NULL,CHR,10,0,0
PAL1415,2015-01-30,NULL,CHR,11,0,0
PAL1415,2015-01-30,NULL,COR,1,0,0
PAL1415,2015-01-30,NULL,COR,2,21,10
PAL1415,2015-01-30,NULL,COR,3,13,16
PAL1415,2015-01-30,NULL,COR,4,0,0
PAL1415,2015-01-30,NULL,COR,5,0,0
PAL1415,2015-01-30,NULL,COR,5.1,32,15
PAL1415,2015-01-30,NULL,COR,6,0,0
PAL1415,2015-01-30,NULL,HUM,1.1,0,0
PAL1415,2015-01-30,NULL,HUM,1.2,0,0
PAL1415,2015-01-30,NULL,HUM,1.3,0,0
PAL1415,2015-01-30,NULL,HUM,2.1,4,14
PAL1415,2015-01-30,NULL,HUM,2.2,16,33
PAL1415,2015-01-30,NULL,HUM,3,14,63
PAL1415,2015-01-30,NULL,HUM,3.1,0,0
PAL1415,2015-01-30,NULL,HUM,4,0,0
PAL1415,2015-01-30,NULL,HUM,5,5,5
PAL1415,2015-01-30,NULL,LIT,1,0,0
PAL1415,2015-01-30,NULL,LIT,2,0,0
PAL1415,2015-01-30,NULL,LIT,3,0,0
PAL1415,2015-01-30,NULL,LIT,4,0,0
PAL1415,2015-01-30,NULL,LIT,5,0,0
PAL1415,2015-01-30,NULL,LIT,6,0,0
PAL1415,2015-01-30,NULL,LIT,7,0,0
PAL1415,2015-01-30,NULL,LIT,8,0,0
PAL1415,2015-01-30,NULL,LIT,9,0,0
PAL1415,2015-01-30,NULL,TOR,1,0,0
PAL1415,2015-01-30,NULL,TOR,2,0,0
PAL1415,2015-01-30,NULL,TOR,3,0,0
PAL1415,2015-01-30,NULL,TOR,4,0,0
PAL1415,2015-01-30,NULL,TOR,5,0,0
PAL1415,2015-01-30,NULL,TOR,12,0,0
PAL1415,2015-01-30,NULL,TOR,13,0,0
PAL1415,2015-01-30,NULL,TOR,15,0,0
PAL1415,2015-01-30,NULL,TOR,17,0,0
PAL1415,2015-01-30,NULL,TOR,18,0,0
PAL1415,2015-01-30,NULL,TOR,19,41,2
PAL1415,2015-01-30,NULL,TOR,20,21,19
PAL1415,2015-01-30,NULL,TOR,21,0,0
PAL1415,2015-01-30,NULL,TOR,22,0,0
PAL1415,2015-01-30,NULL,TOR,23,0,0
PAL1415,2015-01-30,NULL,TOR,23.1,0,0
PAL1516,2016-01-24,NULL,CHR,1,0,0
PAL1516,2016-01-24,NULL,CHR,2,0,0
PAL1516,2016-01-24,NULL,CHR,3,0,0
PAL1516,2016-01-24,NULL,CHR,4.1,0,0
PAL1516,2016-01-24,NULL,CHR,5,0,0
PAL1516,2016-01-24,NULL,CHR,6,0,0
PAL1516,2016-01-24,NULL,CHR,7,73,11
PAL1516,2016-01-24,NULL,CHR,7.1,0,0
PAL1516,2016-01-24,NULL,CHR,7.2,0,0
PAL1516,2016-01-24,NULL,CHR,8,0,0
PAL1516,2016-01-24,NULL,CHR,9.1,0,0
PAL1516,2016-01-24,NULL,CHR,10,0,0
PAL1516,2016-01-24,NULL,CHR,11,0,0
PAL1516,2016-01-24,NULL,COR,1,0,0
PAL1516,2016-01-24,NULL,COR,2,17,8
PAL1516,2016-01-24,NULL,COR,3,19,8
PAL1516,2016-01-24,NULL,COR,4,0,0
PAL1516,2016-01-24,NULL,COR,5,0,0
PAL1516,2016-01-24,NULL,COR,5.1,21,5
PAL1516,2016-01-24,NULL,COR,6,0,0
PAL1516,2016-01-31,NULL,HUM,1.1,0,0
PAL1516,2016-01-31,NULL,HUM,1.2,0,0
PAL1516,2016-01-31,NULL,HUM,1.3,0,0
PAL1516,2016-01-31,NULL,HUM,2.1,0,25
PAL1516,2016-01-31,NULL,HUM,2.2,5,24
PAL1516,2016-01-31,NULL,HUM,3,22,43
PAL1516,2016-01-31,NULL,HUM,3.1,0,0
PAL1516,2016-01-31,NULL,HUM,4,0,0
PAL1516,2016-01-31,NULL,HUM,5,3,0
PAL1516,2016-01-31,NULL,LIT,1,0,0
PAL1516,2016-01-31,NULL,LIT,2,0,0
PAL1516,2016-01-31,NULL,LIT,3,0,0
PAL1516,2016-01-31,NULL,LIT,4,0,0
PAL1516,2016-01-31,NULL,LIT,5,0,0
PAL1516,2016-01-31,NULL,LIT,6,0,0
PAL1516,2016-01-31,NULL,LIT,7,0,0
PAL1516,2016-01-31,NULL,LIT,8,0,0
PAL1516,2016-01-31,NULL,LIT,9,0,0
PAL1516,2016-01-31,NULL,TOR,1,0,0
PAL1516,2016-01-31,NULL,TOR,2,0,0
PAL1516,2016-01-31,NULL,TOR,3,0,0
PAL1516,2016-01-31,NULL,TOR,4,0,0
PAL1516,2016-01-31,NULL,TOR,5,0,0
PAL1516,2016-01-31,NULL,TOR,12,0,0
PAL1516,2016-01-31,NULL,TOR,13,0,0
PAL1516,2016-01-31,NULL,TOR,15,0,0
PAL1516,2016-01-31,NULL,TOR,17,0,0
PAL1516,2016-01-31,NULL,TOR,18,0,0
PAL1516,2016-01-31,NULL,TOR,19,27,0
PAL1516,2016-01-31,NULL,TOR,20,21,1
PAL1516,2016-01-31,NULL,TOR,21,0,0
PAL1516,2016-01-31,NULL,TOR,22,0,0
PAL1516,2016-01-31,NULL,TOR,23,0,0
PAL1516,2016-01-31,NULL,TOR,23.1,0,0
PAL1617,2017-01-22,NULL,CHR,1,0,0
PAL1617,2017-01-22,NULL,CHR,2,0,0
PAL1617,2017-01-22,NULL,CHR,3,0,0
PAL1617,2017-01-22,NULL,CHR,4.1,0,0
PAL1617,2017-01-22,NULL,CHR,5,0,0
PAL1617,2017-01-22,NULL,CHR,6,0,0
PAL1617,2017-01-22,NULL,CHR,7,7,3
PAL1617,2017-01-22,NULL,CHR,7.1,0,0
PAL1617,2017-01-22,NULL,CHR,7.2,0,0
PAL1617,2017-01-22,NULL,CHR,8,0,0
PAL1617,2017-01-22,NULL,CHR,9.1,0,0
PAL1617,2017-01-22,NULL,CHR,10,0,0
PAL1617,2017-01-22,NULL,CHR,11,0,0
PAL1617,2017-01-22,NULL,COR,1,0,0
PAL1617,2017-01-22,NULL,COR,2,17,6
PAL1617,2017-01-22,NULL,COR,3,15,4
PAL1617,2017-01-22,NULL,COR,4,0,0
PAL1617,2017-01-22,NULL,COR,5,0,0
PAL1617,2017-01-22,NULL,COR,5.1,9,7
PAL1617,2017-01-22,NULL,COR,6,0,0
PAL1617,2017-01-28,NULL,HUM,1.1,0,0
PAL1617,2017-01-28,NULL,HUM,1.2,0,0
PAL1617,2017-01-28,NULL,HUM,1.3,0,0
PAL1617,2017-01-28,NULL,HUM,2.1,9,11
PAL1617,2017-01-28,NULL,HUM,2.2,19,28
PAL1617,2017-01-28,NULL,HUM,3,31,53
PAL1617,2017-01-28,NULL,HUM,3.1,0,0
PAL1617,2017-01-28,NULL,HUM,4,0,0
PAL1617,2017-01-28,NULL,HUM,5,0,0
PAL1617,2017-01-28,NULL,LIT,1,0,0
PAL1617,2017-01-28,NULL,LIT,2,0,0
PAL1617,2017-01-28,NULL,LIT,3,0,0
PAL1617,2017-01-28,NULL,LIT,4,0,0
PAL1617,2017-01-28,NULL,LIT,5,0,0
PAL1617,2017-01-28,NULL,LIT,6,0,0
PAL1617,2017-01-28,NULL,LIT,7,0,0
PAL1617,2017-01-28,NULL,LIT,8,0,0
PAL1617,2017-01-28,NULL,LIT,9,0,0
PAL1617,2017-01-28,NULL,TOR,1,0,0
PAL1617,2017-01-28,NULL,TOR,2,0,0
PAL1617,2017-01-28,NULL,TOR,3,0,0
PAL1617,2017-01-28,NULL,TOR,4,0,0
PAL1617,2017-01-28,NULL,TOR,5,0,0
PAL1617,2017-01-28,NULL,TOR,12,0,0
PAL1617,2017-01-28,NULL,TOR,13,0,0
PAL1617,2017-01-28,NULL,TOR,15,0,0
PAL1617,2017-01-28,NULL,TOR,17,0,0
PAL1617,2017-01-28,NULL,TOR,18,0,0
PAL1617,2017-01-28,NULL,TOR,19,21,1
PAL1617,2017-01-28,NULL,TOR,20,15,5
PAL1617,2017-01-28,NULL,TOR,21,0,0
PAL1617,2017-01-28,NULL,TOR,22,0,0
PAL1617,2017-01-28,NULL,TOR,23,0,0
PAL1617,2017-01-28,NULL,TOR,23.1,0,0
PAL1718,2018-01-27,NULL,CHR,1,0,0
PAL1718,2018-01-27,NULL,CHR,2,0,0
PAL1718,2018-01-27,NULL,CHR,3,0,0
PAL1718,2018-01-27,NULL,CHR,4.1,0,0
PAL1718,2018-01-27,NULL,CHR,5,0,0
PAL1718,2018-01-27,NULL,CHR,6,0,0
PAL1718,2018-01-27,NULL,CHR,7,22,26
PAL1718,2018-01-27,NULL,CHR,7.1,0,0
PAL1718,2018-01-27,NULL,CHR,7.2,0,0
PAL1718,2018-01-27,NULL,CHR,8,0,0
PAL1718,2018-01-27,NULL,CHR,9.1,0,0
PAL1718,2018-01-27,NULL,CHR,10,0,0
PAL1718,2018-01-27,NULL,CHR,11,0,0
PAL1718,2018-01-27,NULL,COR,1,0,0
PAL1718,2018-01-27,NULL,COR,2,13,9
PAL1718,2018-01-27,NULL,COR,3,13,5
PAL1718,2018-01-27,NULL,COR,4,0,0
PAL1718,2018-01-27,NULL,COR,5,0,0
PAL1718,2018-01-27,NULL,COR,5.1,10,8
PAL1718,2018-01-27,NULL,COR,6,0,0
PAL1718,2018-01-27,NULL,HUM,1.1,0,0
PAL1718,2018-01-27,NULL,HUM,1.2,0,0
PAL1718,2018-01-27,NULL,HUM,1.3,0,0
PAL1718,2018-01-27,NULL,HUM,2.1,8,4
PAL1718,2018-01-27,NULL,HUM,2.2,17,20
PAL1718,2018-01-27,NULL,HUM,3,34,49
PAL1718,2018-01-27,NULL,HUM,3.1,0,0
PAL1718,2018-01-27,NULL,HUM,4,0,0
PAL1718,2018-01-27,NULL,HUM,5,0,0
PAL1718,2018-01-27,NULL,LIT,1,0,0
PAL1718,2018-01-27,NULL,LIT,2,0,0
PAL1718,2018-01-27,NULL,LIT,3,0,0
PAL1718,2018-01-27,NULL,LIT,4,0,0
PAL1718,2018-01-27,NULL,LIT,5,0,0
PAL1718,2018-01-27,NULL,LIT,6,0,0
PAL1718,2018-01-27,NULL,LIT,7,0,0
PAL1718,2018-01-27,NULL,LIT,8,0,0
PAL1718,2018-01-27,NULL,LIT,9,0,0
PAL1718,2018-01-27,NULL,TOR,1,0,0
PAL1718,2018-01-27,NULL,TOR,2,0,0
PAL1718,2018-01-27,NULL,TOR,3,0,0
PAL1718,2018-01-27,NULL,TOR,4,0,0
PAL1718,2018-01-27,NULL,TOR,5,0,0
PAL1718,2018-01-27,NULL,TOR,12,0,0
PAL1718,2018-01-27,NULL,TOR,13,0,0
PAL1718,2018-01-27,NULL,TOR,15,0,0
PAL1718,2018-01-27,NULL,TOR,17,0,0
PAL1718,2018-01-27,NULL,TOR,18,0,0
PAL1718,2018-01-27,NULL,TOR,19,7,1
PAL1718,2018-01-27,NULL,TOR,20,14,0
PAL1718,2018-01-27,NULL,TOR,21,0,0
PAL1718,2018-01-27,NULL,TOR,22,0,0
PAL1718,2018-01-27,NULL,TOR,23,0,0
PAL1718,2018-01-27,NULL,TOR,23.1,0,0
PAL2021,2021-01-26,NULL,CHR,1,0,0
PAL2021,2021-01-26,NULL,CHR,2,0,0
PAL2021,2021-01-26,NULL,CHR,3,0,0
PAL2021,2021-01-26,NULL,CHR,3.1,0,0
PAL2021,2021-01-26,NULL,CHR,4.1,0,0
PAL2021,2021-01-26,NULL,CHR,4.2,0,0
PAL2021,2021-01-26,NULL,CHR,5,0,0
PAL2021,2021-01-26,NULL,CHR,6,0,0
PAL2021,2021-01-26,NULL,CHR,7,21,22
PAL2021,2021-01-26,NULL,CHR,7.1,0,0
PAL2021,2021-01-26,NULL,CHR,7.2,0,0
PAL2021,2021-01-26,NULL,CHR,8,0,0
PAL2021,2021-01-26,NULL,CHR,9.1,0,0
PAL2021,2021-01-26,NULL,CHR,9.2,0,0
PAL2021,2021-01-26,NULL,CHR,10,0,0
PAL2021,2021-01-26,NULL,CHR,11,0,0
PAL2021,2021-01-26,NULL,COR,1,0,0
PAL2021,2021-01-26,NULL,COR,2,7,7
PAL2021,2021-01-26,NULL,COR,3,7,6
PAL2021,2021-01-26,NULL,COR,4,0,0
PAL2021,2021-01-26,NULL,COR,5,0,0
PAL2021,2021-01-26,NULL,COR,5.1,7,6
PAL2021,2021-01-26,NULL,COR,6,0,0
PAL2021,2021-01-26,NULL,LIT,1,0,0
PAL2021,2021-01-26,NULL,LIT,2,0,0
PAL2021,2021-01-26,NULL,LIT,3,0,0
PAL2021,2021-01-26,NULL,LIT,4,0,0
PAL2021,2021-01-26,NULL,LIT,5,0,0
PAL2021,2021-01-26,NULL,LIT,6,0,0
PAL2021,2021-01-26,NULL,LIT,7,0,0
PAL2021,2021-01-26,NULL,LIT,8,0,0
PAL2021,2021-01-26,NULL,LIT,9,0,0
PAL2021,2021-01-26,NULL,LIT,10,0,0
PAL2021,2021-01-23,NULL,HUM,1.1,0,0
PAL2021,2021-01-23,NULL,HUM,1.2,0,0
PAL2021,2021-01-23,NULL,HUM,1.3,0,0
PAL2021,2021-01-23,NULL,HUM,2,313,678
PAL2021,2021-01-23,NULL,HUM,2.1,0,0
PAL2021,2021-01-23,NULL,HUM,2.2,14,14
PAL2021,2021-01-23,NULL,HUM,3,28,29
PAL2021,2021-01-23,NULL,HUM,3.1,0,0
PAL2021,2021-01-23,NULL,HUM,4,0,0
PAL2021,2021-01-23,NULL,HUM,5,0,0
PAL2021,2021-01-26,NULL,TOR,1,0,0
PAL2021,2021-01-26,NULL,TOR,2,0,0
PAL2021,2021-01-26,NULL,TOR,3,0,0
PAL2021,2021-01-26,NULL,TOR,4,0,0
PAL2021,2021-01-26,NULL,TOR,5,0,0
PAL2021,2021-01-26,NULL,TOR,6,0,0
PAL2021,2021-01-26,NULL,TOR,7.1,0,0
PAL2021,2021-01-26,NULL,TOR,7.2,47,41
PAL2021,2021-01-26,NULL,TOR,7.3,63,64
PAL2021,2021-01-26,NULL,TOR,7.4,0,0
PAL2021,2021-01-26,NULL,TOR,7.5,22,10
PAL2021,2021-01-26,NULL,TOR,8,50,38
PAL2021,2021-01-26,NULL,TOR,9,6,0
PAL2021,2021-01-26,NULL,TOR,10,0,0
PAL2021,2021-01-26,NULL,TOR,11,32,15
PAL2021,2021-01-26,NULL,TOR,12,0,0
PAL2021,2021-01-26,NULL,TOR,13,0,0
PAL2021,2021-01-26,NULL,TOR,14,454,412
PAL2021,2021-01-26,NULL,TOR,15,0,0
PAL2021,2021-01-26,NULL,TOR,16,115,137
PAL2021,2021-01-26,NULL,TOR,16.1,0,0
PAL2021,2021-01-26,NULL,TOR,17,0,0
PAL2021,2021-01-26,NULL,TOR,18,0,0
PAL2021,2021-01-26,NULL,TOR,19,0,0
PAL2021,2021-01-26,NULL,TOR,19.1,0,0
PAL2021,2021-01-26,NULL,TOR,20,0,0
PAL2021,2021-01-26,NULL,TOR,21,0,0
PAL2021,2021-01-26,NULL,TOR,22,0,0
PAL2021,2021-01-26,NULL,TOR,23,0,0
PAL2021,2021-01-26,NULL,TOR,23.1,0,0
